origin,destination,distance,duration,elevation_change
SLU-16,CH-08,0.677915761,7.71666666667,-46.5028038025
SLU-16,CH-09,0.4970968,6.01666666667,-43.771648407
SLU-16,CH-12,0.276510095,3.15,-22.7686424255
SLU-16,CH-15,1.337190392,12.4333333333,-69.3110618591
SLU-16,DPD-01,1.01283473,6.66666666667,36.2174110413
SLU-16,DPD-03,7.639135074,44.5166666667,27.3994865417
SLU-16,EL-01,1.233421435,8.35,39.7375087738
SLU-16,EL-03,1.797004932,11.8166666667,40.1345062256
SLU-16,EL-05,2.785606193,17.0166666667,28.5377655029
SLU-16,FH-01,0.743781087,8.66666666667,-48.8423805237
SLU-16,FH-04,1.146429495,10.5333333333,-36.8494529724
SLU-16,ID-04,1.542864193,13.8,32.3505592346
SLU-16,PS-05,1.35458878,11.1166666667,37.1296510696
SLU-16,PS-04,1.252062565,10.2166666667,40.6160125732
SLU-16,SLU-01,0.832015769,6.45,10.1414642334
SLU-16,SLU-02,1.449037172,9.46666666667,30.3237667084
SLU-16,SLU-04,1.010970617,7.08333333333,36.3736314774
SLU-16,SLU-07,0.661138744,4.68333333333,28.1131153107
SLU-16,SLU-15,0.340511308,2.05,17.1591873169
SLU-16,SLU-17,1.31109281,9.25,40.2808027267
SLU-16,SLU-18,0.662381486,4.65,14.8343544006
SLU-16,SLU-19,1.72119767,12.4833333333,10.9176368713
SLU-16,UD-01,6.685330589,37.4666666667,33.8425865173
SLU-16,UD-02,3.703992531,24.8833333333,1.74934768677
SLU-16,UD-04,3.457308244,22.6833333333,18.9091949463
SLU-16,UD-07,3.885432863,27.4833333333,-16.6626167297
SLU-16,UW-01,4.328470386,28.75,-7.92136383057
SLU-16,UW-02,3.938870769,29.35,-15.8097419739
SLU-16,UW-04,3.620107446,24.1,14.2069892883
SLU-16,UW-06,5.643912793,33.9666666667,9.2670211792
SLU-16,UW-07,5.814789818,33.6833333333,32.7979164124
SLU-16,UW-10,5.352489794,31.3833333333,34.7891025543
SLU-16,WF-01,1.394977895,9.61666666667,45.457023859
SLU-16,WF-04,1.196139175,7.5,43.5645403862
SLU-16,CBD-05,0.966231905,7.36666666667,38.9398927689
SLU-16,CD-01,1.632962988,12.35,-16.2904472351
SLU-16,SLU-20,0.347346389,3.08333333333,8.83465576172
SLU-16,CBD-04,0.474106073,4.2,7.46090316772
SLU-16,SLU-21,1.055709329,7.7,37.3973741531
CBD-06,BT-01,1.331598053,11.0666666667,-12.0465049744
CBD-06,BT-03,1.044524651,7.73333333333,-8.51055526733
CBD-06,BT-04,0.98176618,8.23333333333,-8.96878051758
CBD-06,BT-05,0.964367792,7.86666666667,-18.9779815674
CBD-06,CBD-13,0.343618163,4.65,-17.1551055908
CBD-06,CBD-03,0.651818179,5.98333333333,-23.1883163452
CBD-06,CBD-07,0.433095587,5.88333333333,-6.22756195068
CBD-06,SLU-16,0.798461735,7.71666666667,-23.4474906921
CBD-06,CH-01,1.365773458,13.55,-56.9576339722
CBD-06,CH-02,1.82061703,18.1833333333,-78.3335189819
CBD-06,CH-03,1.697585572,16.3666666667,-59.2351226807
CBD-06,CH-05,2.086563818,20.8833333333,-102.994117737
CBD-06,CH-06,1.748537994,17.45,-81.5695724487
CBD-06,CH-07,1.759722672,19.2833333333,-99.1958847046
CBD-06,CH-08,1.476377496,15.4333333333,-69.9502944946
CBD-06,CH-09,1.295558535,13.7166666667,-67.2191390991
CBD-06,CH-12,1.07497183,10.85,-46.2161331177
CBD-06,CH-15,2.135652127,20.1333333333,-92.7585525513
CBD-06,DPD-01,1.617428713,11.7166666667,12.7699203491
CBD-06,DPD-03,8.243729057,49.5666666667,3.95199584961
CBD-06,EL-01,1.838015418,14.3166666667,16.2900180817
CBD-06,EL-03,2.433910207,17.3333333333,16.6870155334
CBD-06,EL-05,3.584067928,24.7333333333,5.09027481079
CBD-06,FH-01,0.669837938,10.1333333333,-72.2898712158
CBD-06,FH-04,1.105419009,14.7,-60.2969436646
CBD-06,ID-04,0.746266571,8.35,8.90306854248
CBD-06,PS-05,0.557991158,5.66666666667,13.6821603775
CBD-06,PS-04,0.455464943,4.78333333333,17.1685218811
CBD-06,SLU-01,1.436609752,12.4333333333,-13.3060264587
CBD-06,SLU-02,1.846093241,14.1666666667,6.87627601624
CBD-06,SLU-04,1.6155646,12.1333333333,12.9261407852
CBD-06,SLU-07,1.265732727,9.73333333333,4.66562461853
CBD-06,SLU-15,0.737567377,6.73333333333,-6.28830337524
CBD-06,SLU-17,1.915686793,14.3,16.8333120346
